¿Qué modalidad prefieres?,¿Por qué?,¿Sientes que hubo un incremento en la cantidad de tareas en la modalidad virtual?,La dificultad de tus tareas en la modalidad virtual en comparación a la modalidad presencial es…,¿Por qué sientes que la dificultad ha incrementado?,¿En qué modalidad se te facilita más el aprendizaje?,"¿En qué modalidad inviertes más tiempo como estudiante? Ej: Tiempo de camino + Tareas + Tareas, etc",¿Por qué?,¿Crees que en algún futuro la modalidad virtual sustituya la modalidad presencial?,¿Qué carrera estudias?,¿Qué recomiendas para mejorar la educación virtual?
Virtual,Se puede trabajar y estudiar con mayor facilidad ,Si,Mayor,Se estan dejando mas tareas en lugar de comprender los temas ,Virtual,Presencial,El transporte a la universidad es de 2 hrs de camino ,Si,Ingeniería en Computación ,"Menos tareas, y mas practicas con ejercicios prácticos "
Virtual,"Pierdo menos tiempo en transcurso, si un profesor llega tarde o no llega puedo aprovechar ese tiempo haciendo tareas o estudiando más cosas ",Si,La misma,Más que incrementar la dificultad eran tareas más largas de desarrollar,Virtual,Presencial,"Moverme a la escuela, si existen algunas horas libres dentro de clases es un tiempo que no aprovecho de la misma manera presencialmente ",Tal vez,Desarrollo de software,"Establecer horarios para clases, otros días para dudas y que los detalles de tareas se toquen en estas clases no únicamente suban la tarea a n plataforma"
Presencial,Por las prácticas de laboratorio y además me motiva más ver a mis maestras ,Tal vez,Mayor,No es mi estilo y me distraigo fácilmente ,Presencial,Presencial,"Porque tengo que trasladarme a la Uni, bañarme y así ",No,Ingeniería en Nanotecnologia ,Comenzar con un sistema híbrido 
Presencial,"No hay punto de comparación en cuestiones de enseñanza, es complejo el trasladar un sistema que fue creado para ser presencial a algo virtual.",Si,La misma,No es mi estilo de aprendizaje,Presencial,Virtual,"Creo que conlleva varios distractores de por medio, ciertas dificultades técnicas y demás cosas que son fuera de nuestro alcance. ",Tal vez,Diseño para la Comunicación Gráfica ,Una mejor administración en el tiempo en las videollamadas 
Virtual,Que hueva ir a la escuela,No,La misma,"Nunca dije que la dificultad ha incrementado, de hecho lo han hecho más fácil",Presencial,Presencial,Porque el translado + tiempo muerto (tiempo entre clases) es mucho,Si,Programación de videojuegos,Que los profesores aprendan a usar herramientas para hacer dibujos/diagramas en linea
Presencial,Retroalimentación de los profesores e incentivos en el salón,Si,La misma,Demasiados distractores,Presencial,Presencial,Por las razones listadas en la pregunta,No,Ingeniería Financiera,Interacción en tiempo real con el ejemplo que realiza el profesor
Virtual,Hago demasiado tiempo a la escuela,Si,Mayor,Demasiados distractores,Presencial,Presencial,Demasiado tiempo de camino,No,Mercadotecnia,Capacitar de mejor manera a los profesores para que sepan que dejar mas tarea no es dar mejor la clase.
Virtual,Se aprovechan mejor los tiempos y hay menos gastos.,Si,Mayor,El profesor no explica bien,Virtual,Presencial,Los traslados.,Tal vez,Ing. En tecnologías de software.,Tener un control sobre los trabajos que dejan los profesores ya que no solo es una materia.
Virtual,Me da tiempo de trabajar y estudiar,Si,La misma,No creo que incrementara,Presencial,Presencial,Del trabajo a la uni pierdo tiempo valioso,No,Diseño Industrial,Capacitar mejor a los profesores
Virtual,Me ahorro los camiones,Si,La misma,Es lo mismo,Virtual,Presencial,Por los traslados,Si,Letras,Mejor organización de tiempos
Presencial,Las clases presenciales exigen un nivel de compromiso y de responsabilidad mayor a las clases online,Si,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,En mi caso el tiempo de translado a el C.U es de 1:30 hora o hasta 2,Tal vez,ING informática,Mayor atención al seguimiento del aprendizaje 
Presencial,Se disfruta.mas,No,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,Tienes que ir y eso genera que toque el trafico,Tal vez,Ya no estudio,Menos alumnos por sesion
Virtual,Esta agusto estar en tu casa,No,Mayor,El profesor no explica bien,Presencial,Presencial,Hago 4 hrs totales en transporte,No,Ingenieria en Computacion,Mejor planificacion
Presencial,Mayor agilidad ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,Por los camiones ,No,Contaduría ,Menos tarea 
Presencial,Porque ayuda a la explicación de diversos temas.,No,Mayor,El profesor no explica bien,Presencial,Virtual,Porque investigo lo temas por mi cuenta.,No,BGC,Mayor explicación de temas con ejemplos.
Virtual,Porque me da más tiempo de hacer cosas al no tener la necesidad de desplazarme de centro universitario ,Si,Mayor,"Porque no miden los maestros la dimensión de sus tareas, pero como quieren ellos entregar planeaciones más completas y llenas para quedar bien y tener evidencias extras, se olvidan de el gran abanico de materias que pudiera tener el alumno.",Presencial,Virtual,"Por el incremento de tareas y ""material didáctico"" inecesario que comparten",Tal vez,C. De la comunicación y Artes Escénicas ,"Medir la dimensión del material seleccionando como apoyo y las tareas para cumplir el trabajo sin exceder los tiempos designados de aprendizaje, al igual que a los alumnos a perder el miedo de usar herramientas para mejor la eficacia de sus propios trabajos y exposiciones."
Presencial,Aprendo mas,Si,Mayor,El profesor no explica bien,Presencial,Virtual,Tengo que buscar los temas por mi cuenta,No,Administración,Menos tarea
Presencial,Mayor agilidad ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,Por los camiones ,No,Contaduría ,Menos tarea 
Presencial,Siento que aprendo mejor presencialmente,Si,Mayor,El profesor no explica bien,Presencial,Presencial,Pues aun que tengo que caminar me distraigo y llegó a hacer tarea y en cambio en linea con cualquier cosa en Youtube o en Facebook es fácil perder mucho tiempo,Tal vez,Ingeniería mecánica eléctrica,Mayor atención a las dudas que surgen en el curso
Presencial,Es menos aburrido ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Virtual,"Dejan más tarea, por lo tanto es más tiempo ",Tal vez,Licenciatura Química ,"Mayor capacitación para maestros, toma mucho tiempo de espera entre micrófonos, cámaras, Internet etc. "
